Column1,Player,Role,Nation,Team,Images,,
94,Kulwant Khejroliya,Bowler,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/204.png,,
95,Johnson Charles,WK-Batsman,West Indies,Kolkata Knight Riders,https://www.iplt20.com/assets/images/default-headshot.png,,
96,Jason Roy,Batsman,England,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/313.png,,
97,Mandeep Singh,Batsman,India,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/132.png,,
98,Shakib Al Hasan,All-rounder,Bangladesh,Kolkata Knight Riders,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/222.png,,
99,Aarya Desai,Batsman,India,Kolkata Knight Riders,https://www.iplt20.com/assets/images/default-headshot.png,,
100,Manan Vohra,Batsman,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/185.png,,
101,KL Rahul ,WK-Batsman,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/19.png,,
102,Quinton de Kock ,WK-Batsman,South Africa,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/170.png,,
103,Ravi Bishnoi,Bowler,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/520.png,,
104,Mohsin Khan,Bowler,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/541.png,,
105,Arpit Guleria,Bowler,India,Lucknow Super Giants,https://www.iplt20.com/assets/images/default-headshot.png,,
106,Avesh Khan,Bowler,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/109.png,,
107,Mark Wood,Bowler,England,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/315.png,,
108,Marcus Stoinis,All-rounder,Australia,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/23.png,,
109,Kyle Mayers,All-rounder,West Indies,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/726.png,,
110,Karan Sharma,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/986.png,,
111,K Gowtham,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/179.png,,
112,Ayush Badoni,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/985.png,,
113,Deepak Hooda,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/215.png,,
114,Krunal Pandya,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/17.png,,
115,Nicholas Pooran,WK-Batsman,West Indies,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/136.png,,
116,Jaydev Unadkat,Bowler,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/180.png,,
117,Yash Thakur,Bowler,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1550.png,,
118,Romario Shepherd,All-rounder,West Indies,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/371.png,,
119,Daniel Sams,All-rounder,Australia,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/546.png,,
120,Amit mishra,Bowler,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/107.png,,
121,Prerak Mankad,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/998.png,,
122,Swapnil Singh,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1483.png,,
123,Naveen-ul-Haq,Bowler,Afghanistan,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/639.png,,
124,Yudhvir Singh,All-rounder,India,Lucknow Super Giants,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/587.png,,
125,Rohit Sharma ,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/6.png,,
126,Suryakumar Yadav,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/174.png,,
127,Tilak Varma,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/993.png,,
128,Ramandeep Singh,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/991.png,,
129,Dewald Brevis,Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/797.png,,
130,Ishan Kishan ,WK-Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/164.png,,
131,Sandeep Warrsier,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/228.png,,
132,Kumar Kartikeya Singh,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1015.png,,
133,Jofra Archer,Bowler,"

England

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/181.png,,
134,Hrithik Shokeen,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/992.png,,
135,Arjun Tendulkar,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/585.png,,
136,Tim David,All-rounder,"

Singapore

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/636.png,,
137,Tristan Stubbs,WK-Batsman,"

South Africa

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1017.png,,
138,Arshad Khan,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/988.png,,
139,Akash Madhwal,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1045.png,,
140,Jason Behrendorff,Bowler,"

Australia

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/4.png,,
141,Cameron Green,All-rounder,"

Australia

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/550.png,,
142,Riley Meredith,Bowler,Australia,Mumbai Indians,https://www.iplt20.com/assets/images/default-headshot.png,,
143,Piyush Chawla,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/149.png,,
144,Duan Jansen,All-rounder,"

South Africa

",Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1227.png,,
145,Shams Mulani,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/600.png,,
146,Nehal Wadhera,All-rounder,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1541.png,,
147,Vishnu Vinod,WK-Batsman,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/581.png,,
148,Raghav Goyal,Bowler,India,Mumbai Indians,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1933.png,,
149,Bhanuka Rajapaksa,Batsman,Sri Lanka,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/372.png,,
150,Shahrukh Khan,Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/590.png,,
151,Shikhar Dhawan,Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/11.png,,
152,Prabhsimran Singh ,WK-Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/137.png,,
153,Jitesh Sharma ,WK-Batsman,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1000.png,,
154,Matthew Short,All-rounder,Australia,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2032.png,,
155,Arshdeep Singh,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/125.png,,
156,Gurnoor Singh Brar,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1231.png,,
157,Nathan Ellis,Bowler,Australia,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/633.png,,
158,Harpreet Brar,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/130.png,,
159,Rahul Chahar,Bowler,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/171.png,,
160,Kagiso Rabada,Bowler,"

South Africa

",Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/116.png,,
161,Baltej Singh,All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/994.png,,
162,Liam Livingstone,All-rounder,England,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/183.png,,
163,Rishi Dhawan,All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/996.png,,
164,Atharva Taide,All-rounder,India,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1001.png,,
165,Sam Currsan,All-rounder,England,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1001.png,,
166,Sikandar Raza,All-rounder,Zimbabwe,Punjab Kings,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/820.png,,
